STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19WKSCL,C19WKSLO
AK,AK0001,2,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,KENAI PENINSULA,9072355692,CE,2880,R_20,0,1404,R_20,43,R_20,2021,8,0,0,0,-151.8315926,59.77966731,2,122,3110,59414,43,8,3027,200,-4,N,E,100,POINTADDRESS,9,-1
AK,AK0002,7,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,25452,R_20,0,1778,R_20,48,R_20,2021,8,0,0,0,-149.5713885,61.32959269,2,20,3000,287095,31,2.01,2000,200,11260,0,E,100,SUBADDRESS,0,0
AK,AK0002,8,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,8204,R_20,0,1935,R_20,52,R_20,2021,8,0,0,0,-149.7334126,61.21061698,2,20,3000,287095,11,7.03,5009,200,11260,0,E,100,SUBADDRESS,0,0
AK,AK0002,10,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_20,0,1932,R_20,52,R_20,2021,8,0,0,0,-149.1349747,60.96014208,2,20,3000,287095,42,29,2090,200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0002,11,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,CE,146171,R_20,0,3060,R_20,52,R_20,2021,8,0,0,0,-149.8764562,61.1870715,2,20,3000,287095,11,19,4016,200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0002,12,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_20,0,1954,R_20,52,R_20,2021,8,0,0,0,-149.8085247,61.22262309,2,20,3000,287095,11,9.01,2000,200,11260,0,E,99.04,POINTADDRESS,0,0
AK,AK0003,2,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,R_20,0,400,R_20,40,R_20,2021,8,0,0,0,-149.1744083,64.34374942,2,68,3220,2081,43,1,1011,200,-4,N,E,99.62,STREETADDRESS,8,8
AK,AK0006,2,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_20,0,1600,R_20,40,R_20,2021,8,0,0,0,-161.7736923,60.79058917,2,50,6520,18437,33,2,2018,200,-4,N,E,93.91,STREETNAME,11,-1
AK,AK0007,2,Y,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,9663,MATANUSKA-SUSITNA,9078617635,CE,6940,R_20,0,2193,R_20,43,R_20,2021,8,0,0,0,-149.8186701,61.54772359,2,170,7070,110213,42,5.02,1009,200,11260,0,E,99.58,POINTADDRESS,8,10
AK,AK0008,2,Y,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,1315,R_20,0,582,R_20,39,R_20,2021,8,0,0,0,-148.8948017,63.3923707,2,68,10150,2081,43,1,2176,200,-4,N,E,95.86,STREETNAME,9,0
AK,AK0011,2,N,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,-4,CE,1440,R_20,0,60,R_20,6,R_20,2021,8,0,0,0,-152.2335921,57.6122436,2,150,13860,12992,43,1,3035,200,-4,N,E,99.9,STREETADDRESS,16,0
AK,AK0014,2,Y,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,1623,R_20,0,320,R_20,32,R_20,2021,8,0,0,0,-162.7150695,55.20658544,2,13,16530,3401,43,1,1178,200,-4,N,E,98.25,STREETNAME,16,0
AK,AK0015,2,N,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,1320,R_20,0,756,R_20,36,R_20,2021,8,0,0,0,-149.8238238,60.49398903,2,122,17190,59414,43,3,1133,200,-4,N,E,100,POINTADDRESS,16,0
AK,AK0016,2,Y,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,CE,5652,R_20,0,1394,R_20,36,R_20,2021,8,0,0,0,-145.7584917,60.54440438,2,63,17410,6427,43,2,2010,200,-4,N,E,93.17,STREETNAME,16,0
AK,AK0017,3,Y,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,1800,R_20,0,1599,R_20,35,R_20,2021,8,0,0,0,-133.1514427,55.47607867,2,198,17740,6147,M,2,3031,200,-4,N,E,96.5,STREETADDRESS,11,6
AK,AK0018,2,Y,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,M,NORTHWEST ARCTIC,9073632136,CE,375,IP19,0,365,R_20,34,R_20,2021,8,25,0,0,-162.7196162,66.07485877,2,188,18510,7644,43,1,5078,200,-4,N,E,88.29,POSTAL,18,0
AK,AK0019,2,Y,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,CE,5000,R_20,0,2187,R_20,43,R_20,2021,8,0,0,0,-145.734613,64.0468044,2,240,18620,6957,43,4,1070,200,-4,N,E,97.87,STREETADDRESS,9,5
AK,AK0020,2,Y,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,2430,R_20,0,1080,R_20,38,R_20,2021,8,0,0,0,-158.4634525,59.04064089,2,70,18950,4833,43,2,1020,200,-4,N,E,99.04,STREETADDRESS,14,2
AK,AK0021,2,Y,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,CE,1500,R_20,0,700,R_20,37,R_20,2021,8,0,0,0,-141.2084499,64.78697004,2,240,20380,6957,43,1,1051,200,-4,N,E,95.12,STREETINT,11,3
AK,AK0023,2,Y,AK0023-002,BOOKMOBILE,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,BS,-4,N_20,1,1718,R_20,37,R_20,2021,8,0,0,0,-147.7384145,64.8387296,2,90,24230,95651,13,1,2027,200,21820,0,E,100,POINTADDRESS,15,0
AK,AK0023,3,Y,AK0023-003,NORTH POLE BRANCH LIBRARY,656 NORTH POLE HIGH SCHOOL BLVD.,NORTH POLE,99705,M,FAIRBANKS NORTH STAR,9074886101,BR,18410,R_20,0,1838,R_20,37,R_20,2021,8,0,0,0,-147.36566,64.74791,2,90,55910,95651,23,16,2042,200,21820,0,E,93,POI,15,3
AK,AK0023,4,Y,AK0023-004,FAIRBANKS NORTH STAR PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,CE,70456,R_20,0,2613,R_20,37,R_20,2021,8,0,0,0,-147.7384145,64.8387296,2,90,24230,95651,13,1,2027,200,21820,0,E,100,POINTADDRESS,12,3
AK,AK0025,2,Y,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561205,CE,1500,R_20,0,750,R_20,50,R_20,2021,8,0,0,0,-156.8815216,64.74950175,2,290,27530,5077,43,3,2017,200,-4,N,E,97.31,STREETNAME,2,20
AK,AK0027,2,N,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,2000,R_20,0,1248,R_20,37,R_20,2021,8,0,0,0,-145.56129,62.10949001,2,66,28740,2919,43,1,1228,200,-4,N,E,100,DISTANCEMARKER,15,0
AK,AK0028,2,Y,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,3052,R_20,0,1300,R_20,37,R_20,2021,8,0,0,0,-135.7116901,58.41854218,2,105,30940,2141,43,4,3146,200,-4,N,E,87.5,STREETNAME,15,0
AK,AK0029,2,Y,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,8400,R_20,0,2400,R_20,40,R_20,2021,8,0,0,0,-135.4477853,59.23422089,2,100,31050,2614,43,1,3009,200,-4,N,E,100,STREETADDRESS,12,1
AK,AK0030,2,Y,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,4560,R_20,0,710,R_20,40,R_20,2021,8,0,0,0,-149.0181333,63.87341829,2,68,32150,2081,43,1,2178,200,-4,N,E,98.34,STREETADDRESS,10,0
AK,AK0031,2,N,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,2300,R_20,0,903,R_20,42,R_20,2021,8,0,0,0,-132.6490406,55.48222945,2,198,32810,6147,43,1,3460,200,-4,N,E,77,POSTAL,6,3
AK,AK0032,2,Y,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,17000,R_20,0,2704,R_20,52,R_20,2021,8,0,0,0,-151.531634,59.64354508,2,122,33140,59414,43,10,3006,200,-4,N,E,100,POINTADDRESS,0,-1
AK,AK0033,2,N,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,2304,R_20,0,867,R_20,45,R_20,2021,8,0,0,0,-149.6412992,60.91871116,2,122,33580,59414,42,3,1050,200,-4,N,E,100,STREETADDRESS,7,0
AK,AK0035,2,Y,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,8000,R_20,0,1904,R_20,42,R_20,2021,8,0,0,0,-134.3952571,58.27685339,2,110,36400,31849,33,6,2031,200,27940,1,E,100,POINTADDRESS,10,5
AK,AK0035,3,Y,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,3025 DIMOND PARK LOOP,JUNEAU,99801,M,JUNEAU,9077890125,BR,20000,R_20,0,3104,R_20,42,R_20,2021,8,0,0,0,-134.5892619,58.37779826,2,110,36400,31849,33,2,4007,200,27940,1,E,86,POSTAL,10,5
AK,AK0035,4,Y,AK0035-004,DOWNTOWN PUBLIC LIBRARY,292 MARINE WAY,JUNEAU,99801,M,JUNEAU,9075865249,CE,17000,R_20,0,2492,R_20,42,R_20,2021,8,0,0,0,-134.4045093,58.2985496,2,110,36400,31849,33,5,2006,200,27940,1,E,100,STREETADDRESS,10,5
AK,AK0037,2,Y,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,9626,KENAI PENINSULA,9072525886,CE,2553,R_20,0,480,R_20,36,R_20,2021,8,0,0,0,-151.26127,60.308007,2,122,16420,59414,43,7.01,3071,200,-4,N,E,100,POINTADDRESS,12,0
AK,AK0038,2,Y,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,20000,R_20,0,2330,R_20,41,R_20,2021,8,0,0,0,-151.2486134,60.55973412,2,122,38420,59414,33,6,5033,200,-4,N,E,100,POINTADDRESS,11,4
AK,AK0039,2,Y,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,16726,R_20,0,3016,R_20,52,R_20,2021,8,0,0,0,-131.6513884,55.34923151,2,130,38970,13747,33,3,1000,200,28540,1,E,100,POINTADDRESS,0,0
AK,AK0040,2,Y,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,CE,16000,R_20,0,1440,R_20,40,R_20,2021,8,0,0,0,-152.397723,57.79261915,2,150,40950,12992,33,3,2009,200,-4,N,E,100,POINTADDRESS,12,2
AK,AK0041,2,Y,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,1700,R_20,0,2010,R_20,36,R_20,2021,8,0,0,0,-162.5873743,66.89934034,2,188,41830,7644,33,2,1009,200,-4,N,E,98.34,STREETADDRESS,15,0
AK,AK0044,2,Y,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,2536,R_20,0,700,R_20,40,R_20,2021,8,0,0,0,-155.5889643,62.94993871,2,290,46010,5077,43,4,1288,200,-4,N,E,97.08,STREETNAME,12,-1
AK,AK0046,2,Y,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,990,R_20,0,720,R_20,36,R_20,2021,8,0,0,0,-131.5751999,55.12846006,2,198,48870,6147,M,9401,2010,200,-4,N,E,96.49,STREETINT,16,0
AK,AK0047,3,Y,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,840,R_20,0,768,R_20,32,R_20,2021,8,0,0,0,-157.0072593,58.73059453,2,60,52060,788,43,1,1003,200,-4,N,E,96.05,STREETNAME,20,16
AK,AK0047,4,Y,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,1456,R_20,0,1280,R_20,32,R_20,2021,8,0,0,0,-157.0169374,58.7274076,2,60,52060,788,43,1,1066,200,-4,N,E,93.86,STREETNAME,20,0
AK,AK0048,2,Y,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST 2ND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,2421,R_20,0,720,R_20,46,R_20,2021,8,0,0,15,-149.0956459,64.56236274,2,290,53050,5077,43,2,2188,200,-4,N,E,99.04,STREETADDRESS,6,4
AK,AK0051,2,Y,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,9712,KENAI PENINSULA,9075673333,CE,3200,R_20,0,780,R_20,42,R_20,2021,8,0,0,0,-151.6747847,60.04219594,2,122,54480,59414,43,8,1043,200,-4,N,E,100,POINTADDRESS,10,6
AK,AK0052,2,Y,AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,M,NOME,9074436628,CE,3086,R_20,0,1440,R_20,36,R_20,2021,8,0,0,0,-165.3981394,64.50265938,2,180,54920,9909,33,2,3001,200,-4,N,E,86,POSTAL,16,0
AK,AK0055,2,Y,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,11922,R_20,0,2288,R_20,52,R_20,2021,8,0,0,0,-149.1129256,61.60001145,2,170,58660,110213,32,12.01,2006,200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0056,2,Y,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,1200,R_20,0,180,R_20,46,R_20,2021,8,0,0,0,-136.2315449,57.96035082,2,105,59650,2141,43,4,3281,200,-4,N,E,96.67,STREETADDRESS,6,0
AK,AK0057,2,Y,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,9700,R_20,0,1236,R_20,40,R_20,2021,8,0,0,0,-132.9550539,56.81096312,2,195,60310,3296,M,2,2021,200,-4,N,E,96.92,STREETADDRESS,12,4
AK,AK0058,2,Y,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074548185,CE,1360,R_20,0,570,R_20,38,R_20,2021,8,0,0,0,-152.8837465,57.86638392,2,150,63610,12992,43,1,2283,200,-4,N,E,100,POINTADDRESS,14,0
AK,AK0061,2,Y,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,9075463321,CE,1280,R_20,0,-1,M_20,-1,M_20,2021,8,25,0,0,-170.2796199,57.12078366,2,16,66470,5680,43,1,1403,200,-4,N,E,97.57,STREETNAME,-1,-1
AK,AK0064,2,Y,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,2791,R_20,0,571,R_20,41,R_20,2021,8,0,0,0,-151.7146025,59.43872262,2,122,68340,59414,43,12,1247,200,-4,N,E,100,STREETADDRESS,11,4
AK,AK0065,2,Y,AK0065-002,SEWARD COMMUNITY LIBRARY & MUSEUM,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244082,CE,22542,R_20,0,2517,R_20,52,R_20,2021,8,0,0,0,-149.4372455,60.10250876,2,122,68560,59414,43,13,2016,200,-4,N,E,100,POINTADDRESS,0,0
AK,AK0067,2,Y,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,9920,R_20,0,2750,R_20,50,R_20,2021,8,0,0,0,-135.3339472,57.04975726,2,220,70540,8405,M,2,4016,200,-4,N,E,100,POINTADDRESS,2,13
AK,AK0068,2,Y,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,5014,R_20,0,1799,R_20,41,R_20,2021,8,0,0,0,-135.3138967,59.45760188,2,230,70760,1179,43,1,1089,200,-4,N,E,98.54,STREETADDRESS,11,4
AK,AK0069,2,Y,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,21054,R_20,0,2090,R_20,40,R_20,2021,8,0,0,0,-151.0723854,60.4923396,2,122,71640,59414,33,5,5027,200,-4,N,E,100,POINTADDRESS,12,3
AK,AK0070,2,Y,AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9078617640,CE,6258,R_20,0,1736,R_20,43,R_20,2021,8,0,0,0,-148.8774072,61.7110252,2,170,74525,110213,42,2,1001,200,11260,0,E,100,STREETADDRESS,9,6
AK,AK0071,1,Y,AK0071-002,TAKOTNA COMMUNITY/SCHOOL LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,M,YUKON-KOYUKUK,9072982229,CE,360,R_20,0,280,R_20,28,R_20,2021,8,24,0,0,-156.0649294,62.98819239,2,290,74610,5077,43,4,1109,200,-4,N,E,97.9,STREETNAME,20,4
AK,AK0072,2,Y,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9078617645,CE,7840,R_20,0,-1,M_20,42,R_20,2021,8,0,0,0,-150.0840522,62.29895717,2,170,74830,110213,43,1.02,1000,200,11260,0,E,100,STREETADDRESS,10,6
AK,AK0073,2,Y,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,848,R_20,0,-1,M_20,-1,M_20,2021,8,25,0,0,-152.0816283,65.17054645,2,290,75160,5077,43,2,1302,200,-4,N,E,98.16,STREETNAME,-1,-1
AK,AK0074,2,Y,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,896,R_20,0,406,R_20,36,R_20,2021,8,0,0,0,-135.2348273,57.78394498,2,105,76260,2141,43,4,2211,200,-4,N,E,94.6,STREETADDRESSEXT,14,0
AK,AK0075,2,N,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,CE,1019,R_20,0,1056,R_20,44,R_20,2021,8,0,0,0,-142.98035,63.33542998,2,240,77800,6957,43,1,2043,200,-4,N,E,97.56,DISTANCEMARKER,8,7
AK,AK0077,2,Y,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,15000,R_20,0,2860,R_20,52,R_20,2021,8,0,0,0,-146.3544579,61.12986275,2,63,82200,6427,43,3,1023,200,-4,N,E,100,STREETADDRESS,0,0
AK,AK0078,2,Y,AK0078-002,WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET,WASILLA,99654,7189,MATANUSKA-SUSITNA,9073765913,CE,24400,R_20,0,1640,R_20,41,R_20,2021,8,0,0,0,-149.4296874,61.58385999,2,170,83080,110213,32,8,3024,200,11260,0,E,100,POINTADDRESS,11,1
AK,AK0080,2,Y,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,4111,R_20,0,1978,R_20,43,R_20,2021,8,0,0,0,-150.051764,61.74509562,2,170,85280,110213,43,4.02,2032,200,11260,0,E,86,POSTAL,9,-1
AK,AK0081,2,Y,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,5930,R_20,0,1654,R_20,41,R_20,2021,8,0,0,0,-132.386882,56.47318142,2,275,86380,2510,M,3,2027,200,-4,N,E,100,STREETADDRESS,11,4
AK,AK0082,2,Y,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,M,BETHEL,-3,CE,-3,U_20,-3,-3,U_20,-3,U_20,2021,8,3,0,0,-161.2189952,60.91116104,2,50,870,18437,43,1,3147,200,-4,N,E,87.77,STREETADDRESS,-3,-3